# time	10% actually used	time	25% actually used	time	Control trace
  0.05	-81.18	0.05	-81.17	2.55	-81.18
  2.55	-80.99	2.55	-80.72	5.1	-81.18
  5.05	-80.83	5.05	-80.34	7.65	-81.18
  7.55	-80.69	7.55	-80.03	10.2	-80.89
  10.05	-80.57	10.05	-79.78	12.75	-33.17
  12.55	-80.47	12.55	-79.56	15.3	-0.66
  15.05	-80.32	15.05	-79.34	17.85	-4.35
  17.55	-72.05	17.55	-71.15	20.4	-6.78
  20.05	-0.15	20.05	-1.81	22.95	-8.69
  22.55	-5.5	22.55	-9.02	25.5	-10.14
  25.05	-9.17	25.05	-14.32	28.05	-11.18
  27.55	-12.2	27.55	-19.07	30.6	-11.88
  30.05	-14.84	30.05	-23.51	33.15	-12.32
  32.55	-17.14	32.55	-27.58	35.7	-12.54
  35.05	-19.15	35.05	-31.24	38.25	-12.61
  37.55	-20.95	37.55	-34.52	40.8	-12.55
  40.05	-22.57	40.05	-37.45	43.35	-12.4
  42.55	-24.07	42.55	-40.08	45.9	-12.18
  45.05	-25.48	45.05	-42.45	48.45	-11.89
  47.55	-26.81	47.55	-44.6	51	-11.56
  50.05	-28.09	50.05	-46.57	53.55	-11.21
  52.55	-29.33	52.55	-48.37	56.1	-10.83
  55.05	-30.53	55.05	-50.03	58.65	-10.44
  57.55	-31.7	57.55	-51.57	61.2	-10.04
  60.05	-32.84	60.05	-52.99	63.75	-9.66
  62.55	-33.96	62.55	-54.3	66.3	-9.28
  65.05	-35.06	65.05	-55.52	68.85	-8.92
  67.55	-36.13	67.55	-56.65	71.4	-8.58
  70.05	-37.19	70.05	-57.7	73.95	-8.26
  72.55	-38.23	72.55	-58.67	76.5	-7.98
  75.05	-39.25	75.05	-59.58	79.05	-7.72
  77.55	-40.25	77.55	-60.43	81.6	-7.5
  80.05	-41.23	80.05	-61.21	84.15	-7.32
  82.55	-42.19	82.55	-61.94	86.7	-7.17
  85.05	-43.14	85.05	-62.62	89.25	-7.06
  87.55	-44.07	87.55	-63.26	91.8	-6.98
  90.05	-44.99	90.05	-63.86	94.35	-6.94
  92.55	-45.88	92.55	-64.41	96.9	-6.93
  95.05	-46.76	95.05	-64.94	99.45	-6.95
  97.55	-47.63	97.55	-65.42	102	-7
  100.05	-48.48	100.05	-65.88	104.55	-7.09
  102.55	-49.32	102.55	-66.31	107.1	-7.2
  105.05	-50.14	105.05	-66.71	109.65	-7.34
  107.55	-50.95	107.55	-67.09	112.2	-7.51
  110.05	-51.74	110.05	-67.45	114.75	-7.7
  112.55	-52.52	112.55	-67.79	117.3	-7.92
  115.05	-53.28	115.05	-68.11	119.85	-8.16
  117.55	-54.03	117.55	-68.41	122.4	-8.43
  120.05	-54.77	120.05	-68.69	124.95	-8.71
  122.55	-55.49	122.55	-68.96	127.5	-9.02
  125.05	-56.2	125.05	-69.22	130.05	-9.35
  127.55	-56.89	127.55	-69.47	132.6	-9.71
  130.05	-57.57	130.05	-69.7	135.15	-10.08
  132.55	-58.24	132.55	-69.92	137.7	-10.47
  135.05	-58.89	135.05	-70.13	140.25	-10.89
  137.55	-59.52	137.55	-70.33	142.8	-11.33
  140.05	-60.14	140.05	-70.53	145.35	-11.79
  142.55	-60.75	142.55	-70.71	147.9	-12.27
  145.05	-61.34	145.05	-70.89	150.45	-12.77
  147.55	-61.92	147.55	-71.06	153	-13.3
  150.05	-62.48	150.05	-71.22	155.55	-13.86
  152.55	-63.02	152.55	-71.38	158.1	-14.43
  155.05	-63.55	155.05	-71.53	160.65	-15.04
  157.55	-64.06	157.55	-71.68	163.2	-15.67
  160.05	-64.56	160.05	-71.82	165.75	-16.33
  162.55	-65.04	162.55	-71.96	168.3	-17.01
  165.05	-65.5	165.05	-72.09	170.85	-17.72
  167.55	-65.95	167.55	-72.22	173.4	-18.46
  170.05	-66.39	170.05	-72.34	175.95	-19.23
  172.55	-66.8	172.55	-72.46	178.5	-20.02
  175.05	-67.21	175.05	-72.58	181.05	-20.85
  177.55	-67.59	177.55	-72.69	183.6	-21.69
  180.05	-67.97	180.05	-72.8	186.15	-22.57
  182.55	-68.32	182.55	-72.91	188.7	-23.47
  185.05	-68.67	185.05	-73.01	191.25	-24.39
  187.55	-69	187.55	-73.11	193.8	-25.34
  190.05	-69.32	190.05	-73.21	196.35	-26.3
  192.55	-69.62	192.55	-73.31	198.9	-27.28
  195.05	-69.91	195.05	-73.4	201.45	-28.28
  197.55	-70.19	197.55	-73.49	204	-29.29
  200.05	-70.46	200.05	-73.58	206.55	-30.32
  202.55	-70.71	202.55	-73.66	209.1	-31.35
  205.05	-70.96	205.05	-73.75	211.65	-32.4
  207.55	-71.19	207.55	-73.83	214.2	-33.45
  210.05	-71.42	210.05	-73.91	216.75	-34.51
  212.55	-71.63	212.55	-73.99	219.3	-35.56
  215.05	-71.84	215.05	-74.06	221.85	-36.62
  217.55	-72.04	217.55	-74.14	224.4	-37.68
  220.05	-72.23	220.05	-74.21	226.95	-38.74
  222.55	-72.41	222.55	-74.28	229.5	-39.8
  225.05	-72.58	225.05	-74.35	232.05	-40.85
  227.55	-72.75	227.55	-74.41	234.6	-41.9
  230.05	-72.91	230.05	-74.48	237.15	-42.95
  232.55	-73.07	232.55	-74.55	239.7	-43.98
  235.05	-73.21	235.05	-74.61	242.25	-45.01
  237.55	-73.36	237.55	-74.67	244.8	-46.03
  240.05	-73.49	240.05	-74.73	247.35	-47.05
  242.55	-73.63	242.55	-74.79	249.9	-48.05
  245.05	-73.75	245.05	-74.55	252.45	-49.05
  247.55	-73.88	247.55	-43.35	255	-50.03
  250.05	-74	250.05	-8.72	257.55	-51.01
  252.55	-74.11	252.55	-15.29	260.1	-51.97
  255.05	-74.22	255.05	-20.29	262.65	-52.93
  257.55	-74.33	257.55	-24.74	265.2	-53.87
  260.05	-74.43	260.05	-28.89	267.75	-54.8
  262.55	-74.53	262.55	-32.76	270.3	-55.72
  265.05	-74.63	265.05	-36.31	272.85	-56.63
  267.55	-74.72	267.55	-39.55	275.4	-57.52
  270.05	-74.81	270.05	-42.49	277.95	-58.4
  272.55	-74.9	272.55	-45.19	280.5	-59.26
  275.05	-74.97	275.05	-47.65	283.05	-60.1
  277.55	-73.31	277.55	-49.93	285.6	-60.93
  280.05	-5.48	280.05	-52.03	288.15	-61.74
  282.55	-9.21	282.55	-53.96	290.7	-62.54
  285.05	-13.14	285.05	-55.75	293.25	-63.31
  287.55	-15.92	287.55	-57.41	295.8	-64.06
  290.05	-18.21	290.05	-58.93	298.35	-64.78
  292.55	-20.26	292.55	-60.33	300.9	-65.49
  295.05	-22.15	295.05	-61.61	303.45	-66.17
  297.55	-23.93	297.55	-62.79	306	-66.83
  300.05	-25.63	300.05	-63.86	308.55	-67.46
  302.55	-27.26	302.55	-64.84	311.1	-68.06
  305.05	-28.84	305.05	-65.73	313.65	-68.64
  307.55	-30.38	307.55	-66.54	316.2	-69.19
  310.05	-31.89	310.05	-67.28	318.75	-69.72
  312.55	-33.38	312.55	-67.94	321.3	-70.22
  315.05	-34.84	315.05	-68.55	323.85	-70.7
  317.55	-36.27	317.55	-69.09	326.4	-71.15
  320.05	-37.68	320.05	-69.59	328.95	-71.58
  322.55	-39.06	322.55	-70.03	331.5	-71.98
  325.05	-40.41	325.05	-70.44	334.05	-72.36
  327.55	-41.74	327.55	-70.8	336.6	-72.72
  330.05	-43.04	330.05	-71.13	339.15	-73.06
  332.55	-44.32	332.55	-71.44	341.7	-73.38
  335.05	-45.57	335.05	-71.71	344.25	-73.67
  337.55	-46.79	337.55	-71.96	346.8	-73.95
  340.05	-47.98	340.05	-72.19	349.35	-74.22
  342.55	-49.15	342.55	-72.4	351.9	-74.46
  345.05	-50.29	345.05	-72.59	354.45	-74.69
  347.55	-51.4	347.55	-72.77	357	-74.91
  350.05	-52.49	350.05	-72.93	359.55	-75.11
  352.55	-53.55	352.55	-73.08	362.1	-75.3
  355.05	-54.58	355.05	-73.22	364.65	-75.48
  357.55	-55.59	357.55	-73.35	367.2	-75.65
  360.05	-56.57	360.05	-73.48	369.75	-75.81
  362.55	-57.53	362.55	-73.59	372.3	-75.95
  365.05	-58.45	365.05	-73.7	374.85	-76.09
  367.55	-59.35	367.55	-73.8	377.4	-76.22
  370.05	-60.22	370.05	-73.9	379.95	-76.35
  372.55	-61.06	372.55	-73.99	382.5	-76.46
  375.05	-61.88	375.05	-74.08	385.05	-76.57
  377.55	-62.66	377.55	-74.17	387.6	-76.68
  380.05	-63.41	380.05	-74.25	390.15	-76.78
  382.55	-64.13	382.55	-74.33	392.7	-76.87
  385.05	-64.82	385.05	-74.4	395.25	-76.96
  387.55	-65.48	387.55	-74.47	397.8	-77.04
  390.05	-66.11	390.05	-74.54	400.35	-77.13
  392.55	-66.71	392.55	-74.61	402.9	-77.2
  395.05	-67.28	395.05	-74.67	405.45	-77.28
  397.55	-67.82	397.55	-74.74	408	-77.35
  400.05	-68.34	400.05	-74.8	410.55	-77.41
  402.55	-68.82	402.55	-74.86	413.1	-77.48
  405.05	-69.28	405.05	-74.92	415.65	-77.54
  407.55	-69.71	407.55	-74.97	418.2	-77.6
  410.05	-70.12	410.05	-75.03	420.75	-77.66
  412.55	-70.51	412.55	-75.08	423.3	-77.71
  415.05	-70.87	415.05	-75.13	425.85	-77.77
  417.55	-71.21	417.55	-75.18	428.4	-77.82
  420.05	-71.52	420.05	-75.23	430.95	-77.5
  422.55	-71.82	422.55	-75.28	433.5	-3.26
  425.05	-72.1	425.05	-75.33	436.05	-1.13
  427.55	-72.37	427.55	-75.38	438.6	-9.46
  430.05	-72.61	430.05	-75.42	441.15	-12.92
  432.55	-72.85	432.55	-75.47	443.7	-15.15
  435.05	-73.07	435.05	-75.51	446.25	-16.81
  437.55	-73.27	437.55	-75.55	448.8	-18.1
  440.05	-73.46	440.05	-75.6	451.35	-19.12
  442.55	-73.64	442.55	-75.64	453.9	-19.94
  445.05	-73.82	445.05	-75.31	456.45	-20.62
  447.55	-73.98	447.55	-13.54	459	-21.2
  450.05	-74.13	450.05	-8.26	461.55	-21.7
  452.55	-74.27	452.55	-14.84	464.1	-22.15
  455.05	-74.41	455.05	-19.7	466.65	-22.57
  457.55	-74.54	457.55	-24.04	469.2	-22.95
  460.05	-74.66	460.05	-28.17	471.75	-23.32
  462.55	-74.77	462.55	-32.07	474.3	-23.68
  465.05	-74.88	465.05	-35.72	476.85	-24.04
  467.55	-74.99	467.55	-39.08	479.4	-24.39
  470.05	-75.09	470.05	-42.16	481.95	-24.74
  472.55	-75.18	472.55	-45	484.5	-25.11
  475.05	-75.28	475.05	-47.62	487.05	-25.48
  477.55	-75.36	477.55	-50.04	489.6	-25.86
  480.05	-75.45	480.05	-52.27	492.15	-26.25
  482.55	-75.53	482.55	-54.34	494.7	-26.65
  485.05	-75.6	485.05	-56.25	497.25	-27.07
  487.55	-75.68	487.55	-58.02	499.8	-27.5
  490.05	-75.75	490.05	-59.65	502.35	-27.95
  492.55	-75.82	492.55	-61.14	504.9	-28.41
  495.05	-75.89	495.05	-62.51	507.45	-28.89
  497.55	-75.95	497.55	-63.76	510	-29.39
  500.05	-76.01	500.05	-64.9	512.55	-29.9
  502.55	-76.07	502.55	-65.94	515.1	-30.42
  505.05	-76.04	505.05	-66.87	517.65	-30.96
  507.55	-63.04	507.55	-67.72	520.2	-31.52
  510.05	-4.61	510.05	-68.48	522.75	-32.09
  512.55	-9.99	512.55	-69.16	525.3	-32.68
  515.05	-13.46	515.05	-69.78	527.85	-33.28
  517.55	-15.98	517.55	-70.33	530.4	-33.9
  520.05	-18.13	520.05	-70.82	532.95	-34.53
  522.55	-20.07	522.55	-71.26	535.5	-35.17
  525.05	-21.88	525.05	-71.65	538.05	-35.83
  527.55	-23.6	527.55	-72.01	540.6	-36.5
  530.05	-25.27	530.05	-72.32	543.15	-37.18
  532.55	-26.89	532.55	-72.6	545.7	-37.87
  535.05	-28.49	535.05	-72.86	548.25	-38.57
  537.55	-30.07	537.55	-73.09	550.8	-39.27
  540.05	-31.63	540.05	-73.29	553.35	-39.99
  542.55	-33.17	542.55	-73.48	555.9	-40.72
  545.05	-34.7	545.05	-73.65	558.45	-41.45
  547.55	-36.21	547.55	-73.8	561	-42.19
  550.05	-37.7	550.05	-73.95	563.55	-42.94
  552.55	-39.16	552.55	-74.07	566.1	-43.7
  555.05	-40.61	555.05	-74.19	568.65	-44.45
  557.55	-42.03	557.55	-74.3	571.2	-45.22
  560.05	-43.42	560.05	-74.4	573.75	-45.99
  562.55	-44.78	562.55	-74.5	576.3	-46.76
  565.05	-46.12	565.05	-74.59	578.85	-47.53
  567.55	-47.43	567.55	-74.67	581.4	-48.31
  570.05	-48.71	570.05	-74.75	583.95	-49.09
  572.55	-49.96	572.55	-74.67	586.5	-49.87
  575.05	-51.18	575.05	-66.56	589.05	-50.66
  577.55	-52.37	577.55	-9.74	591.6	-51.44
  580.05	-53.54	580.05	-15.68	594.15	-52.23
  582.55	-54.67	582.55	-20.71	596.7	-53.02
  585.05	-55.78	585.05	-25.17	599.25	-53.81
  587.55	-56.85	587.55	-29.34	601.8	-54.6
  590.05	-57.9	590.05	-33.27	604.35	-55.39
  592.55	-58.91	592.55	-36.9	606.9	-56.17
  595.05	-59.89	595.05	-40.25	609.45	-56.96
  597.55	-60.83	597.55	-43.31	612	-57.74
  600.05	-61.74	600.05	-46.13	614.55	-58.51
  602.55	-62.62	602.55	-48.73	617.1	-59.28
  605.05	-63.46	605.05	-51.14	619.65	-60.05
  607.55	-64.26	607.55	-53.36	622.2	-60.81
  610.05	-65.03	610.05	-55.42	624.75	-61.56
  612.55	-65.76	612.55	-57.33	627.3	-62.3
  615.05	-66.46	615.05	-59.09	629.85	-63.02
  617.55	-67.12	617.55	-60.7	632.4	-63.74
  620.05	-67.75	620.05	-62.19	634.95	-64.44
  622.55	-68.33	622.55	-63.54	637.5	-65.12
  625.05	-68.89	625.05	-64.78	640.05	-65.79
  627.55	-69.41	627.55	-65.9	642.6	-66.44
  630.05	-69.9	630.05	-66.91	645.15	-67.07
  632.55	-70.36	632.55	-67.83	647.7	-67.68
  635.05	-70.79	635.05	-68.65	650.25	-68.27
  637.55	-71.19	637.55	-69.39	652.8	-68.83
  640.05	-71.57	640.05	-70.05	655.35	-69.38
  642.55	-71.92	642.55	-70.64	657.9	-69.9
  645.05	-72.24	645.05	-71.16	660.45	-70.39
  647.55	-72.54	647.55	-71.63	663	-70.87
  650.05	-72.83	650.05	-72.05	665.55	-71.32
  652.55	-73.09	652.55	-72.42	668.1	-71.75
  655.05	-73.33	655.05	-72.75	670.65	-72.15
  657.55	-73.56	657.55	-73.04	673.2	-72.53
  660.05	-73.77	660.05	-73.3	675.75	-72.89
  662.55	-73.97	662.55	-73.54	678.3	-73.23
  665.05	-74.15	665.05	-73.75	680.85	-73.56
  667.55	-74.32	667.55	-73.94	683.4	-73.86
  670.05	-74.49	670.05	-74.11	685.95	-74.14
  672.55	-74.64	672.55	-74.26	688.5	-74.4
  675.05	-74.78	675.05	-74.39	691.05	-74.55
  677.55	-74.9	677.55	-74.43	693.6	-73.21
  680.05	-74.85	680.05	-72.49	696.15	-37.91
  682.55	-66.76	682.55	-26.96	698.7	-6.45
  685.05	-9.14	685.05	-16.06	701.25	-12.65
  687.55	-12.83	687.55	-20.82	703.8	-15.51
  690.05	-15.99	690.05	-25.22	706.35	-17.27
  692.55	-18.46	692.55	-29.39	708.9	-18.52
  695.05	-20.61	695.05	-33.32	711.45	-19.46
  697.55	-22.6	697.55	-36.99	714	-20.17
  700.05	-24.48	700.05	-40.38	716.55	-20.7
  702.55	-26.28	702.55	-43.49	719.1	-21.11
  705.05	-28.03	705.05	-46.35	721.65	-21.42
  707.55	-29.73	707.55	-49	724.2	-21.66
  710.05	-31.4	710.05	-51.46	726.75	-21.83
  712.55	-33.05	712.55	-53.73	729.3	-21.96
  715.05	-34.66	715.05	-55.84	731.85	-22.05
  717.55	-36.26	717.55	-57.79	734.4	-22.12
  720.05	-37.82	720.05	-59.59	736.95	-22.15
  722.55	-39.35	722.55	-61.25	739.5	-22.17
  725.05	-40.86	725.05	-62.77	742.05	-22.17
  727.55	-42.34	727.55	-64.16	744.6	-22.17
  730.05	-43.79	730.05	-65.42	747.15	-22.15
  732.55	-45.21	732.55	-66.56	749.7	-22.12
  735.05	-46.6	735.05	-67.59	752.25	-22.09
  737.55	-47.96	737.55	-68.52	754.8	-22.06
  740.05	-49.29	740.05	-69.35	757.35	-22.03
  742.55	-50.59	742.55	-70.1	759.9	-21.99
  745.05	-51.86	745.05	-70.76	762.45	-21.96
  747.55	-53.09	747.55	-71.35	765	-21.93
  750.05	-54.3	750.05	-71.87	767.55	-21.9
  752.55	-55.47	752.55	-72.33	770.1	-21.88
  755.05	-56.62	755.05	-72.74	772.65	-21.86
  757.55	-57.73	757.55	-73.11	775.2	-21.85
  760.05	-58.8	760.05	-73.43	777.75	-21.85
  762.55	-59.84	762.55	-73.71	780.3	-21.85
  765.05	-60.85	765.05	-73.97	782.85	-21.87
  767.55	-61.82	767.55	-74.18	785.4	-21.9
  770.05	-62.75	770.05	-74.3	787.95	-21.94
  772.55	-63.64	772.55	-73.5	790.5	-21.99
  775.05	-64.5	775.05	-61.85	793.05	-22.06
  777.55	-65.31	777.55	-17.52	795.6	-22.15
  780.05	-66.08	780.05	-21.19	798.15	-22.25
  782.55	-66.82	782.55	-25.35	800.7	-22.37
  785.05	-67.51	785.05	-29.4	803.25	-22.51
  787.55	-68.17	787.55	-33.29	805.8	-22.67
  790.05	-68.78	790.05	-36.96	808.35	-22.84
  792.55	-69.36	792.55	-40.38	810.9	-23.05
  795.05	-69.91	795.05	-43.54	813.45	-23.27
  797.55	-70.41	797.55	-46.48	816	-23.52
  800.05	-70.89	800.05	-49.2	818.55	-23.8
  802.55	-71.33	802.55	-51.74	821.1	-24.1
  805.05	-71.74	805.05	-54.1	823.65	-24.43
  807.55	-72.12	807.55	-56.29	826.2	-24.79
  810.05	-72.47	810.05	-58.33	828.75	-25.18
  812.55	-72.8	812.55	-60.21	831.3	-25.6
  815.05	-73.1	815.05	-61.94	833.85	-26.04
  817.55	-73.38	817.55	-63.54	836.4	-26.52
  820.05	-73.64	820.05	-64.99	838.95	-27.04
  822.55	-73.88	822.55	-66.31	841.5	-27.58
  825.05	-74.1	825.05	-67.5	844.05	-28.16
  827.55	-74.31	827.55	-68.58	846.6	-28.77
  830.05	-74.49	830.05	-69.55	849.15	-29.41
  832.55	-74.32	832.55	-70.41	851.7	-30.08
  835.05	-66.08	835.05	-71.17	854.25	-30.78
  837.55	-12.51	837.55	-71.85	856.8	-31.51
  840.05	-15.05	840.05	-72.46	859.35	-32.28
  842.55	-17.77	842.55	-72.99	861.9	-33.07
  845.05	-20.09	845.05	-73.45	864.45	-33.89
  847.55	-22.19	847.55	-73.86	867	-34.73
  850.05	-24.16	850.05	-74.22	869.55	-35.6
  852.55	-26.04	852.55	-74.54	872.1	-36.49
  855.05	-27.86	855.05	-74.81	874.65	-37.4
  857.55	-29.62	857.55	-75.06	877.2	-38.33
  860.05	-31.35	860.05	-75.27	879.75	-39.27
  862.55	-33.05	862.55	-75.45	882.3	-40.24
  865.05	-34.71	865.05	-75.45	884.85	-41.21
  867.55	-36.35	867.55	-71.89	887.4	-42.2
  870.05	-37.95	870.05	-16.31	889.95	-43.2
  872.55	-39.53	872.55	-16.85	892.5	-44.21
  875.05	-41.08	875.05	-21.31	895.05	-45.23
  877.55	-42.6	877.55	-25.53	897.6	-46.26
  880.05	-44.08	880.05	-29.6	900.15	-47.29
  882.55	-45.54	882.55	-33.5	902.7	-48.33
  885.05	-46.97	885.05	-37.14	905.25	-49.37
  887.55	-48.36	887.55	-40.52	907.8	-50.42
  890.05	-49.73	890.05	-43.63	910.35	-51.47
  892.55	-51.06	892.55	-46.49	912.9	-52.51
  895.05	-52.36	895.05	-49.14	915.45	-53.56
  897.55	-53.63	897.55	-51.6	918	-54.61
